,kpm,okpm,a,k,d,performance
1135,0.1945345067160722,0.0555812876331635,5.0,7.0,0.0,A
1136,0.0555812876331635,0.0,11.0,2.0,1.0,C
1137,0.1667438628994905,0.0277906438165817,5.0,6.0,1.0,B
1138,0.1389532190829087,0.0833719314497452,8.0,5.0,1.0,C
1139,0.0277906438165817,0.0277906438165817,11.0,1.0,4.0,C
1140,0.1485148514851485,0.0891089108910891,3.0,5.0,5.0,B
1141,0.0297029702970297,0.0594059405940594,4.0,1.0,3.0,C
1142,0.0891089108910891,0.0891089108910891,3.0,3.0,2.0,C
1143,0.0594059405940594,0.2673267326732673,4.0,2.0,3.0,A
1144,0.0297029702970297,0.0594059405940594,3.0,1.0,6.0,B
1145,0.0891089108910891,0.1485148514851485,11.0,3.0,4.0,B
1146,0.0594059405940594,0.0297029702970297,13.0,2.0,2.0,B
1147,0.0891089108910891,0.0891089108910891,12.0,3.0,3.0,C
1148,0.2673267326732673,0.0594059405940594,4.0,9.0,0.0,A
1149,0.0594059405940594,0.0297029702970297,11.0,2.0,3.0,C
1150,0.1110596945858398,0.1665895418787598,9.0,4.0,4.0,C
1151,0.1388246182322998,0.1388246182322998,6.0,5.0,5.0,C
1152,0.2498843128181397,0.1110596945858398,9.0,9.0,4.0,A
1153,0.1388246182322998,0.1110596945858398,6.0,5.0,6.0,B
1154,0.0,0.0832947709393799,14.0,0.0,3.0,A
1155,0.1665895418787598,0.1110596945858398,7.0,6.0,3.0,C
1156,0.1388246182322998,0.1388246182322998,11.0,5.0,5.0,B
1157,0.1110596945858398,0.2498843128181397,9.0,4.0,6.0,A
1158,0.1110596945858398,0.1388246182322998,11.0,4.0,4.0,C
1159,0.0832947709393799,0.0,8.0,3.0,5.0,B
1160,0.1222493887530562,0.0244498777506112,12.0,5.0,0.0,A
1161,0.1222493887530562,0.0,11.0,5.0,1.0,B
1162,0.0244498777506112,0.0733496332518337,13.0,1.0,3.0,B
1163,0.2689486552567237,0.0733496332518337,5.0,11.0,0.0,A
1164,0.0,0.0,17.0,0.0,3.0,A
1165,0.0244498777506112,0.1222493887530562,2.0,1.0,7.0,A
1166,0.0,0.1222493887530562,2.0,0.0,3.0,C
1167,0.0733496332518337,0.0244498777506112,3.0,3.0,4.0,C
1168,0.0733496332518337,0.2689486552567237,2.0,3.0,4.0,A
1169,0.0,0.0,4.0,0.0,4.0,B
1170,0.0390117035110533,0.1170351105331599,1.0,1.0,3.0,C
1171,0.0780234070221066,0.0390117035110533,1.0,2.0,3.0,C
1172,0.0390117035110533,0.2340702210663199,1.0,1.0,4.0,B
1173,0.0,0.3120936280884265,2.0,0.0,6.0,A
1174,0.0,0.0780234070221066,3.0,0.0,4.0,C
1175,0.1170351105331599,0.0390117035110533,4.0,3.0,0.0,C
1176,0.0390117035110533,0.0780234070221066,9.0,1.0,2.0,C
1177,0.2340702210663199,0.0390117035110533,11.0,6.0,0.0,A
1178,0.3120936280884265,0.0,6.0,8.0,0.0,A
1179,0.0780234070221066,0.0,11.0,2.0,2.0,B
1180,0.0658616904500548,0.0329308452250274,6.0,2.0,1.0,C
1181,0.0987925356750823,0.0329308452250274,7.0,3.0,4.0,C
1182,0.0987925356750823,0.0329308452250274,6.0,3.0,1.0,C
1183,0.0658616904500548,0.1317233809001097,3.0,2.0,0.0,B
1184,0.0,0.0329308452250274,5.0,0.0,2.0,C
1185,0.0329308452250274,0.0658616904500548,4.0,1.0,3.0,C
1186,0.0329308452250274,0.0987925356750823,5.0,1.0,2.0,C
1187,0.0329308452250274,0.0987925356750823,2.0,1.0,2.0,C
1188,0.1317233809001097,0.0658616904500548,1.0,4.0,1.0,C
1189,0.0329308452250274,0.0,2.0,1.0,2.0,C
