,k,d
89,0.00028826512441145857,0.000403571174176042
90,0.00034583498913626486,0.00017291749456813243
91,0.00011643955695259449,0.0003493186708577835
92,0.00010253670962028821,0.00020507341924057642
93,0.00031053252956563676,0.000388165661957046
94,0.000264194005397318,0.000132097002698659
95,0.00039334998422186387,0.00032779165351821987
96,0.0001661413230216321,0.0006645652920865283
97,0.00017275329341232543,0.00034550658682465087
98,0.00011013553888438005,0.00033040661665314017
99,0.0,0.001274932153635084
100,0.00021131862430565508,0.00042263724861131015
101,0.0,0.002149394899062163
102,0.0,0.00020150240119915227
103,0.0010241654925800898,0.0
104,0.00021148406761753132,0.0
105,0.00028837571790645006,9.612523930215003e-05
106,0.00034825362435702,0.00034825362435702
107,0.000732583330204745,0.0005494374976535588
108,0.0003381053098499289,0.0006762106196998578
109,0.00017872891116369006,0.0010723734669821404
110,7.592841321891192e-05,0.0003037136528756477
111,0.0003265632531056383,0.0009796897593169149
112,0.00021549168750746022,0.0
113,0.0003552246286928314,0.0005328369430392471
114,0.00043598152005095293,0.0
115,0.0,0.00098646381606351
116,0.0001261899739874146,0.0002523799479748292
117,0.00035906834464929514,0.00026930125848697136
118,0.0,0.0003511033259739305
119,0.0001703271156859632,0.0001703271156859632
120,0.0,0.0009295870933204565
121,0.00020791027489296837,5.197756872324209e-05
122,0.0003542938125019332,0.0002657203593764499
123,0.0002298682505694616,0.0001149341252847308
124,0.0001794730363158305,0.00011964869087722033
125,0.000482643153620852,0.0
126,0.00033035346373881013,0.0002202356424925401
127,0.00012326739804704076,0.0002465347960940815
128,0.0001593692909230856,0.0001593692909230856
129,0.0001587839664285742,0.0001587839664285742
130,0.0,0.0017689628488296023
131,0.00030576600720566213,0.00038220750900707767
132,0.0003445425770367148,0.0005168138655550721
133,7.423488074654463e-05,0.0
134,0.00027246770437904617,0.0
135,0.0,0.0003530612764589186
136,0.00018473766928833518,0.00011084260157300111
137,0.00012300711459096837,0.0004920284583638735
138,0.00012859376915602731,0.00034291671774940615
139,0.00011616800672784321,0.0006970080403670592
140,0.0,0.0013482349663839117
141,0.00014873767557491878,4.9579225191639595e-05
142,0.0004971804888284798,0.0001657268296094933
143,0.0002744447733968661,0.00013722238669843306
144,0.0005502887149531777,0.0
145,0.0,0.00066744734428863
146,0.0,0.00037510925322583683
147,0.0,0.001537157889661131
148,0.00014895118807263684,0.0004468535642179105
149,0.0003651260703611787,0.0003651260703611787
150,0.00048734254543194894,0.0009746850908638979
151,0.00025634810584229087,0.00017089873722819391
152,0.0003133659659571743,0.0007834149148929358
153,0.00012267437979268919,0.00012267437979268919
154,0.0001890713687039287,0.00025209515827190495
155,0.00018732125379451191,0.0005619637613835358
156,0.00023639397634956337,0.00033095156688938874
157,0.0001939474174820213,0.00012929827832134752
158,0.00013864592950387031,6.932296475193516e-05
159,0.00035497672050158777,8.874418012539694e-05
160,0.0,0.00065908186646577
161,0.00012949552335403132,0.00012949552335403132
162,0.0,0.0010549266754868857
163,0.0,0.0004755842767399754
164,0.0,0.0005390878143463573
165,0.0,0.00132396837446875
166,0.0002478145435371584,8.260484784571946e-05
167,0.000351851760017008,0.0
168,0.00027056464262342745,0.0
169,0.0006057305249628299,0.00012114610499256599
170,0.0003682280974167881,0.0
171,0.000466341873774854,0.00017487820266557025
172,0.0003168124901393679,0.00012672499605574717
173,0.00041300295796987545,0.00020650147898493773
174,0.00046272509325298003,5.7840636656622504e-05
175,0.0002164531783487496,0.0006493595350462489
176,0.0,0.0015807258507149718
177,0.00038706667071564875,5.529523867366411e-05
178,0.00011522445920702158,0.0005761222960351079
179,0.00025809854917308484,0.0020647883933846787
180,0.00022165362677401332,5.541340669350333e-05
181,0.00010874356332862379,0.00010874356332862379
182,0.0003539715102133146,8.849287755332865e-05
183,0.0002809700721596661,5.619401443193322e-05
184,0.0003056734521683762,0.0012226938086735049
185,0.00014178475320248012,0.0
186,0.00025383045430553544,0.0003807456814583032
187,0.0,0.0005627972082247717
188,0.00023404712237105887,0.00023404712237105887
189,0.0004646424227976912,0.0009292848455953824
190,0.00011259307372148997,0.00011259307372148997
191,0.00032069620571509733,0.0001924177234290584
192,0.00015635048693382855,0.00015635048693382855
193,9.64713595629443e-05,6.431423970862953e-05
194,0.0,0.0
195,0.00019185355433327903,0.00019185355433327903
196,0.00017436981542770112,0.00034873963085540224
197,0.00015225545228988711,0.00015225545228988711
198,0.0001702473973785215,0.0001702473973785215
199,0.00018814098518747739,0.0005644229555624322
200,0.00018476473289193363,0.000554294198675801
201,0.0005214026119594834,0.0005214026119594834
202,0.0,0.000677550443949487
203,0.00032661625134099614,0.00032661625134099614
204,0.0,0.003692015870900973
205,0.0003032607881836904,0.00020217385878912693
206,0.0006088139580628522,0.00015220348951571305
207,0.0004396749616061313,0.0
208,0.00024135327861596356,0.00036202991792394534
209,0.00017922697204910884,8.961348602455442e-05
210,0.00022948360280501906,0.00022948360280501906
211,0.00040583402422584316,6.763900403764052e-05
212,0.00017685937571797748,0.00011790625047865166
213,0.00034515432624151706,0.00013806173049660684
214,0.00022079998912974812,0.00044159997825949623
215,0.0001358756252670856,0.0002038134379006284
216,0.00035707357399404675,0.00035707357399404675
217,0.00014639476986006927,0.00029278953972013854
218,0.00010245794790884163,0.00020491589581768326
219,0.0,0.0005661111692706696
220,4.526091988465973e-05,0.00022630459942329863
221,0.0005424184689681978,0.0001808061563227326
222,0.00012482581822426385,0.00012482581822426385
223,0.00012130961650075386,0.0001819644247511308
224,0.00027516849677473295,0.0016510109806483976
225,0.0001893889979199035,0.0001420417484399276
226,0.0002741480354615365,0.0002741480354615365
227,0.0002990713197024515,0.00019938087980163433
228,0.00021225960077080261,4.2451920154160526e-05
229,0.00016841154801365993,0.00033682309602731987
230,0.0,0.0005711037934192688
231,0.0,0.0010373147996940617
232,0.0001013700738578355,0.0001013700738578355
233,8.690331920413028e-05,0.0002607099576123909
234,0.0,0.0007020265437634384
235,8.09137086359572e-05,8.09137086359572e-05
236,0.000504903084802535,0.00012622577120063375
237,0.0003503551619378498,0.0
238,0.00041837664068819573,0.0
239,0.0002392185639971478,0.0
